kandydat;srednia
graphs_n3_1_0;42572.454545454544
graphs_n4_2_0;207976.19191919192
graphs_n4_2_1;261929.21212121213
graphs_n5_3_0;1191536.4545454546
graphs_n5_3_1;3531684.262626263
graphs_n5_3_2;1666295.202020202
graphs_n6_6_0;6940556.323232323
graphs_n6_6_1;26135241.818181816
graphs_n6_6_2;22995146.060606062
graphs_n6_6_3;11438777.747474747
graphs_n6_6_4;20516253.232323233
graphs_n6_6_5;10358891.262626262
