kandydat;srednia
graphs_n3_1_0;13286.535353535353
graphs_n4_2_0;147102.14141414143
graphs_n4_2_1;146798.202020202
graphs_n5_3_0;1653669.9797979798
graphs_n5_3_1;4682711.676767677
graphs_n5_3_2;1521420.7878787878
graphs_n6_6_0;17614211.91919192
graphs_n6_6_1;65898739.19191919
graphs_n6_6_2;46428648.18181818
graphs_n6_6_3;34978368.18181818
graphs_n6_6_4;46704488.08080808
graphs_n6_6_5;15213496.555555556
