kandydat;srednia
graphs_n3_1_0;122634.11111111111
graphs_n4_2_0;1008082.2626262626
graphs_n4_2_1;1273283.8181818181
graphs_n5_3_0;9797456.717171717
graphs_n5_3_1;28797953.232323233
graphs_n5_3_2;13816286.969696969
graphs_n6_6_0;99197858.58585858
graphs_n6_6_1;352438806.06060606
graphs_n6_6_2;319951717.17171717
graphs_n6_6_3;151091620.2020202
graphs_n6_6_4;282039481.8181818
graphs_n6_6_5;146836372.72727272
