kandydat;srednia
graphs_n3_1_0;6005.828282828283
graphs_n4_2_0;80181.80808080808
graphs_n4_2_1;21112.353535353537
graphs_n5_3_0;1181439.8585858585
graphs_n5_3_1;518939.9292929293
graphs_n5_3_2;116744.43434343435
graphs_n6_6_0;16263047.676767677
graphs_n6_6_1;9249837.595959596
graphs_n6_6_2;3281190.090909091
graphs_n6_6_3;1517988.303030303
graphs_n6_6_4;1189738.2727272727
graphs_n6_6_5;459505.8484848485
