kandydat;srednia
graphs_n3_1_0;413912.8181818182
graphs_n4_2_0;6245577.646464647
graphs_n4_2_1;7904527.404040404
graphs_n5_3_0;110015839.39393939
graphs_n5_3_1;326748720.2020202
graphs_n5_3_2;156373538.3838384
graphs_n6_6_0;1966912060.6060605
graphs_n6_6_1;7312565191.919192
graphs_n6_6_2;6660831212.121212
graphs_n6_6_3;3150469303.030303
graphs_n6_6_4;5834922555.555555
graphs_n6_6_5;3051655828.2828283
