kandydat;srednia
graphs_n3_1_0;6623.383838383838
graphs_n4_2_0;27216.76767676768
graphs_n4_2_1;38598.979797979795
graphs_n5_3_0;128486.17171717172
graphs_n5_3_1;474713.1818181818
graphs_n5_3_2;221370.1313131313
graphs_n6_6_0;601033.3131313132
graphs_n6_6_1;2859819.9696969697
graphs_n6_6_2;2666848.494949495
graphs_n6_6_3;1395228.5959595959
graphs_n6_6_4;2631316.777777778
graphs_n6_6_5;1248259.5151515151
