426861	539654
118887	144407
8866	48626
459	2864
44449	56605
450	8830
8836	88666
138142	138224
7499	12778
83015	252791
8943	44542
40237	165574
8965	8975
152093	513482
62897	63336
47105	93161
271	10071
8914	44382
7497	42490
130576	1512760
489	48134
2731	8836
399	401
706636	1706854
209981	779500
6962	31458
64298	204876
8824	49735
48662	348171
12603	152950
47000	252806
8887	64315
8689	96931
49730	49735
1546729	2174974
8882	56090
1551572	1552048
318563	1009341
40575	59971
585347	1012391
402	7959
86633	389972
41701	48182
245	317650
86031	251703
3451	8855
5732	1636433
130570	161557
6581	7106
2868	143173
504	52537
291	59413
3940	41783
11190	48184
86633	522231
45274	47106
109337	140352
89403	109011
72082	88959
48377	83015
44448	94070
47819	47822
241108	935697
375	389008
61716	139229
8380	42833
48160	237004
463	68873
253	5763
310399	1673087
46996	55285
121458	545565
394	48177
48134	304763
367	404
8861	51040
59522	61157
85855	109556
433	40574
2798	73003
4293	48134
68895	86633
5908	47797
7897	115982
401	3008
406	47628
74152	137661
68884	107398
74152	121540
441	44435
104146	115062
4291	59195
52989	403177
443	1027019
44447	51445
31717	86302
283827	1012391
8584	110955
68039	241105
404	8974
12689	42490
356	8953
451	489
57578	152902
4890	43410
403	471
643910	1124844
140322	581939
153995	309115
7036	8581
64180	71928
2002605	2586818
43733	249607
8675	99802
351	6887
8080	86985
8549	60166
47835	48587
40239	135561
40236	615229
44997	72263
52563	385353
7049	52988
44449	94070
47921	47931
2798	58222
8829	149060
509	325774
399	8960
57598	249607
48160	1141209
6887	63033
64286	108801
42587	74712
403	61962
659208	1836653
3941	44001
450	8976
377412	381701
45274	48152
148067	574205
44997	64170
44623	70704
3390	52992
95845	297975
8568	8835
62156	85781
5761	1681350
56093	899631
68025	68036
405	71114
377	205368
4293	389031
4291	40239
41783	47933
57226	246942
8567	44382
10436	83891
46405	1654630
3940	50798
8834	8922
441	44600
157404	297252
8591	45311
271	499
43689	250809
5087	8576
361	47926
130574	195277
3942	52436
7400	509903
1012391	2409351
6023	8620
3451	6060
48223	1533804
44340	64208
43689	383711
47000	47544
44452	62546
139725	152948
5987	63338
62618	84219
3448	8836
44452	435638
428	8411
497	59274
435	900512
10071	74750
117185	589594
31461	46405
8804	49020
130574	987910
63592	72510
69499	102753
44201	44449
11183	625791
8675	56847
63334	238093
41263	1007774
129972	611365
152883	1012391
43689	1944445
47558	758222
54546	243221
492	88666
4290	44326
367	8957
50577	118552
504	56433
379	4890
138142	150894
59195	88666
157404	739768
1551572	1911546
8910	69497
48147	157626
427	108819
7049	64347
8835	44367
7595	8692
6855	48601
3894	42492
51039	79261
54994	62646
8567	249607
11183	960050
71034	94519
81	446
401	624489
41781	77906
502	8813
459	1775805
3190	6563
7595	86585
434	6062
8857	930116
8586	8588
44452	63336
462	43410
56091	80000
59384	85308
8821	63720
43731	50799
8569	49423
8557	8715
375	79277
8729	8745
246562	926786
66929	449750
130574	513489
44599	50926
440	3483
46745	53561
439	7056
611316	631432
468	60800
463	42624
42587	52609
259	443
462127	1502872
11183	1239757
11190	207712
5907	7945
45040	48617
7045	8975
52569	253178
8883	49744
4784	8622
8870	239726
585347	1012391
44452	48368
44328	47893
137255	407373
45230	48959
44449	62619
46405	61321
47540	313368
222937	762492
68834	93706
86637	661127
505	71676
59251	64315
11900	158560
76528	84283
8688	95845
48152	295420
13152	232888
9651	209981
8627	275753
44370	57597
119948	1760954
35	267565
415	498551
8893	80257
59496	84063
8732	421498
138665	631255
5908	47626
7034	7939
71641	108801
157632	163411
70	500
396	3940
99464	243888
486	317620
33	9653
48280	69493
42492	252965
11183	124636
49735	152872
8836	59017
1684593	2002735
351	8820
6847	44004
4784	44449
7051	45230
48661	644653
60205	207265
50579	150894
4290	124431
390	857630
41783	50893
491	8595
93140	2058248
4615	6933
8859	152908
8890	45311
61962	70579
8852	8936
398	433912
6018	45232
44613	66693
6060	83896
403	46773
270	156308
810790	2268437
44385	50910
40237	242759
335584	818874
11962	194527
34	59463
11190	129975
463	8862
6577	8628
43493	146471
79320	1012391
237005	471077
184880	758222
44539	161346
34	706636
47	47000
47540	67305
74154	87746
81	8805
7883	377413
3389	42833
405	47951
74152	273928
7888	310399
6844	76407
462	42492
459	109157
11900	124299
43732	86585
7043	2327335
351	97471
8852	152899
34	6656
423089	1726185
451	69497
8846	255063
2864	49064
8562	42850
509	109157
8567	63079
283864	1934309
74385	2481948
450	495
6961	255835
271253	1533804
270	1841641
44327	44452
5761	255835
53559	152905
462	207265
285343	612281
8962	440304
10534	812416
395	252808
5330	72550
48276	63721
130576	604221
48276	50799
405	63769
11190	1858011
13152	556769
236998	493495
6062	48389
510	42586
46997	62798
242	273
104758	654517
310399	858601
47629	47871
352	7162
11585	85679
8816	8959
47000	59195
152937	464475
8595	69037
486	9652
3487	8914
48617	48961
124636	509909
6847	926786
354	243856
367	42851
501	144416
435	1103776
5908	156292
8879	49022
8674	8976
8566	8890
7029	64515
7501	8703
355	90774
10071	61264
10896	1126090
456	152871
141783	142499
509896	629831
413	47000
256	8581
440	7927
207265	527439
463	60229
393972	727822
368	8570
6936	161364
86466	99806
377	152087
74387	76057
11190	624840
7043	230673
167593	282401
270	71675
455	48226
8700	496084
311	44600
422	828862
60946	61110
433	1934309
293883	1189419
10105	59703
361	47544
10548	108604
356	46745
5761	317619
3189	44438
66	408
10398	461789
4290	45970
611086	971689
3190	12806
60834	87648
7028	209102
47540	359674
40248	47898
8547	81421
7961	83896
76057	87670
11900	2051561
456	476
401	421696
363	7586
47926	49966
8824	61250
11183	449750
10298	161321
272	63768
3486	44997
334	691079
34	411
8614	48686
433	406303
12785	41901
10298	847675
41009	49627
362	497
252965	372320
112769	116132
460	8589
87745	117185
3448	152973
8735	88663
98548	207265
44438	75615
8969	47822
66	471
3448	47813
79987	513489
486	60202
11962	144412
53533	70388
52567	89373
64251	290819
273	48277
3390	8684
311	491
8893	142641
45057	70389
6936	48181
41902	64247
5907	47557
461	67754
44502	84606
488	8409
352	7492
8911	62060
245	377413
463	47629
4732	7493
59496	161318
72083	86823
131922	207265
47	330180
502	510
68031	141783
48160	84836
48160	75614
8846	45232
8599	8866
55285	64392
360	255835
156608	304608
62361	77954
45311	49615
